Title: Maximum Temperature of All station during year 2000 to 2022

SL.	Station	Year	Month	Temperature (Deg.Cel)
125	Dinajpur (10120)	2010	5	33.50
126	Dinajpur (10120)	2010	6	32.46
127	Dinajpur (10120)	2010	7	32.82
128	Dinajpur (10120)	2010	8	32.75
129	Dinajpur (10120)	2010	9	32.46
130	Dinajpur (10120)	2010	10	31.43
131	Dinajpur (10120)	2010	11	29.41
132	Dinajpur (10120)	2010	12	25.37
133	Dinajpur (10120)	2011	1	20.85
134	Dinajpur (10120)	2011	2	27.10
135	Dinajpur (10120)	2011	3	30.61
136	Dinajpur (10120)	2011	4	31.90
137	Dinajpur (10120)	2011	5	32.29
138	Dinajpur (10120)	2011	6	32.90
139	Dinajpur (10120)	2011	7	32.58
140	Dinajpur (10120)	2011	8	32.24
141	Dinajpur (10120)	2011	9	32.73
142	Dinajpur (10120)	2011	10	32.53
143	Dinajpur (10120)	2011	11	28.76
144	Dinajpur (10120)	2011	12	23.57
145	Dinajpur (10120)	2012	1	22.18
146	Dinajpur (10120)	2012	2	26.69
147	Dinajpur (10120)	2012	3	31.11
148	Dinajpur (10120)	2012	4	32.95
149	Dinajpur (10120)	2012	5	34.60
150	Dinajpur (10120)	2012	6	33.16
151	Dinajpur (10120)	2012	7	32.27
152	Dinajpur (10120)	2012	8	33.30
153	Dinajpur (10120)	2012	9	32.56
154	Dinajpur (10120)	2012	10	31.57
155	Dinajpur (10120)	2012	11	28.56
156	Dinajpur (10120)	2012	12	21.94
157	Dinajpur (10120)	2013	1	22.51
158	Dinajpur (10120)	2013	2	27.73
159	Dinajpur (10120)	2013	3	31.96
160	Dinajpur (10120)	2013	4	32.50
161	Dinajpur (10120)	2013	5	31.75
162	Dinajpur (10120)	2013	6	33.86
163	Dinajpur (10120)	2013	7	33.14
164	Dinajpur (10120)	2013	8	32.53
165	Dinajpur (10120)	2013	9	33.50
166	Dinajpur (10120)	2013	10	30.39
167	Dinajpur (10120)	2013	11	29.15
168	Dinajpur (10120)	2013	12	24.39
169	Dinajpur (10120)	2014	1	22.42
170	Dinajpur (10120)	2014	2	24.38
171	Dinajpur (10120)	2014	3	30.54
172	Dinajpur (10120)	2014	4	34.92
173	Dinajpur (10120)	2014	5	34.56
174	Dinajpur (10120)	2014	6	33.27
175	Dinajpur (10120)	2014	7	33.38
176	Dinajpur (10120)	2014	8	32.63
177	Dinajpur (10120)	2014	9	31.91
178	Dinajpur (10120)	2014	10	31.85
179	Dinajpur (10120)	2014	11	29.55
180	Dinajpur (10120)	2014	12	24.28
181	Dinajpur (10120)	2015	1	22.21
182	Dinajpur (10120)	2015	2	27.02
183	Dinajpur (10120)	2015	3	30.75
184	Dinajpur (10120)	2015	4	31.01
185	Dinajpur (10120)	2015	5	32.97
186	Dinajpur (10120)	2015	6	32.75
187	Dinajpur (10120)	2015	7	33.24
188	Dinajpur (10120)	2015	8	32.39
189	Dinajpur (10120)	2015	9	33.10
190	Dinajpur (10120)	2015	10	32.71
191	Dinajpur (10120)	2015	11	30.04
192	Dinajpur (10120)	2015	12	24.67
193	Dinajpur (10120)	2016	1	23.43
194	Dinajpur (10120)	2016	2	28.20
195	Dinajpur (10120)	2016	3	31.87
196	Dinajpur (10120)	2016	4	34.65
197	Dinajpur (10120)	2016	5	32.29
198	Dinajpur (10120)	2016	6	33.60
199	Dinajpur (10120)	2016	7	32.28
200	Dinajpur (10120)	2016	8	34.01
201	Dinajpur (10120)	2016	9	32.31
202	Dinajpur (10120)	2016	10	32.48
203	Dinajpur (10120)	2016	11	30.40
204	Dinajpur (10120)	2016	12	26.06
205	Dinajpur (10120)	2017	1	24.81
206	Dinajpur (10120)	2017	2	27.78
207	Dinajpur (10120)	2017	3	28.63
208	Dinajpur (10120)	2017	4	31.07
209	Dinajpur (10120)	2017	5	32.83
210	Dinajpur (10120)	2017	6	34.16
211	Dinajpur (10120)	2017	7	32.61
212	Dinajpur (10120)	2017	8	33.07
213	Dinajpur (10120)	2017	9	33.61
214	Dinajpur (10120)	2017	10	31.53
215	Dinajpur (10120)	2017	11	29.41
216	Dinajpur (10120)	2017	12	26.57
217	Dinajpur (10120)	2018	1	20.54
218	Dinajpur (10120)	2018	2	27.23
219	Dinajpur (10120)	2018	3	31.23
220	Dinajpur (10120)	2018	4	31.10
221	Dinajpur (10120)	2018	5	31.76
222	Dinajpur (10120)	2018	6	33.98
223	Dinajpur (10120)	2018	7	33.51
224	Dinajpur (10120)	2018	8	33.87
225	Dinajpur (10120)	2018	9	33.34
226	Dinajpur (10120)	2018	10	31.33
227	Dinajpur (10120)	2018	11	29.60
228	Dinajpur (10120)	2018	12	25.51
229	Dinajpur (10120)	2019	1	25.80
230	Dinajpur (10120)	2019	2	26.55
231	Dinajpur (10120)	2019	3	30.70
232	Dinajpur (10120)	2019	4	31.36
233	Dinajpur (10120)	2019	5	34.05
234	Dinajpur (10120)	2019	6	34.17
235	Dinajpur (10120)	2019	7	32.86
236	Dinajpur (10120)	2019	8	34.61
237	Dinajpur (10120)	2019	9	31.92
238	Dinajpur (10120)	2019	10	30.71
239	Dinajpur (10120)	2019	11	29.98
240	Dinajpur (10120)	2019	12	23.37
241	Dinajpur (10120)	2020	1	22.43
242	Dinajpur (10120)	2020	2	25.90
243	Dinajpur (10120)	2020	3	29.65
244	Dinajpur (10120)	2020	4	31.34
245	Dinajpur (10120)	2020	5	31.64
246	Dinajpur (10120)	2020	6	33.19
247	Dinajpur (10120)	2020	7	31.94
248	Dinajpur (10120)	2020	8	34.05
249	Dinajpur (10120)	2020	9	31.89
250	Dinajpur (10120)	2020	10	33.63
251	Dinajpur (10120)	2020	11	29.72
252	Dinajpur (10120)	2020	12	24.99
253	Dinajpur (10120)	2021	1	22.70
254	Dinajpur (10120)	2021	2	27.93
255	Dinajpur (10120)	2021	3	31.83
256	Dinajpur (10120)	2021	4	34.10
257	Dinajpur (10120)	2021	5	32.11
258	Dinajpur (10120)	2021	6	33.34
259	Dinajpur (10120)	2021	7	33.52
260	Dinajpur (10120)	2021	8	33.21
261	Dinajpur (10120)	2021	9	33.95
262	Dinajpur (10120)	2021	10	32.20
263	Dinajpur (10120)	2021	11	29.51
264	Dinajpur (10120)	2021	12	26.56
265	Dinajpur (10120)	2022	1	22.25
266	Dinajpur (10120)	2022	2	24.52
267	Dinajpur (10120)	2022	3	32.45
268	Dinajpur (10120)	2022	4	31.68
269	Dinajpur (10120)	2022	5	32.54
270	Dinajpur (10120)	2022	6	32.21
271	Dinajpur (10120)	2022	7	34.66
272	Dinajpur (10120)	2022	8	33.60
273	Dinajpur (10120)	2022	9	33.05
274	Dinajpur (10120)	2022	10	32.33
275	Dinajpur (10120)	2022	11	30.28
276	Dinajpur (10120)	2022	12	26.67
277	Rangpur (10208)	2000	1	23.49
278	Rangpur (10208)	2000	2	24.92
279	Rangpur (10208)	2000	3	29.30
280	Rangpur (10208)	2000	4	30.96
281	Rangpur (10208)	2000	5	31.25
282	Rangpur (10208)	2000	6	32.16
283	Rangpur (10208)	2000	7	32.31
284	Rangpur (10208)	2000	8	32.42
285	Rangpur (10208)	2000	9	30.92
286	Rangpur (10208)	2000	10	31.56
287	Rangpur (10208)	2000	11	28.38
288	Rangpur (10208)	2000	12	25.85
289	Rangpur (10208)	2001	1	23.68
290	Rangpur (10208)	2001	2	26.90
291	Rangpur (10208)	2001	3	31.42
292	Rangpur (10208)	2001	4	32.65
293	Rangpur (10208)	2001	5	31.54
294	Rangpur (10208)	2001	6	32.08
295	Rangpur (10208)	2001	7	32.79
296	Rangpur (10208)	2001	8	33.22
297	Rangpur (10208)	2001	9	31.88
298	Rangpur (10208)	2001	10	30.41
299	Rangpur (10208)	2001	11	28.85
300	Rangpur (10208)	2001	12	25.10
301	Rangpur (10208)	2002	1	23.71
302	Rangpur (10208)	2002	2	27.41
303	Rangpur (10208)	2002	3	30.12
304	Rangpur (10208)	2002	4	29.17
305	Rangpur (10208)	2002	5	31.02
306	Rangpur (10208)	2002	6	30.81
307	Rangpur (10208)	2002	7	30.45
308	Rangpur (10208)	2002	8	32.20
309	Rangpur (10208)	2002	9	31.89
310	Rangpur (10208)	2002	10	31.48
311	Rangpur (10208)	2002	11	28.53
312	Rangpur (10208)	2002	12	24.95
313	Rangpur (10208)	2003	1	20.27
314	Rangpur (10208)	2003	2	25.69
315	Rangpur (10208)	2003	3	28.07
316	Rangpur (10208)	2003	4	30.52
317	Rangpur (10208)	2003	5	32.12
318	Rangpur (10208)	2003	6	31.22
319	Rangpur (10208)	2003	7	32.36
320	Rangpur (10208)	2003	8	33.03
321	Rangpur (10208)	2003	9	32.39
322	Rangpur (10208)	2003	10	30.10
323	Rangpur (10208)	2003	11	28.45
324	Rangpur (10208)	2003	12	25.52
325	Rangpur (10208)	2004	1	21.96
326	Rangpur (10208)	2004	2	26.68
327	Rangpur (10208)	2004	3	30.61
328	Rangpur (10208)	2004	4	28.98
329	Rangpur (10208)	2004	5	32.00
330	Rangpur (10208)	2004	6	31.62
331	Rangpur (10208)	2004	7	30.77
332	Rangpur (10208)	2004	8	33.08
333	Rangpur (10208)	2004	9	31.03
334	Rangpur (10208)	2004	10	29.56
335	Rangpur (10208)	2004	11	28.65
336	Rangpur (10208)	2004	12	25.61
337	Rangpur (10208)	2005	1	23.54
338	Rangpur (10208)	2005	2	26.68
339	Rangpur (10208)	2005	3	29.58
340	Rangpur (10208)	2005	4	31.07
341	Rangpur (10208)	2005	5	30.72
342	Rangpur (10208)	2005	6	32.16
343	Rangpur (10208)	2005	7	31.59
344	Rangpur (10208)	2005	8	32.01
345	Rangpur (10208)	2005	9	33.19
346	Rangpur (10208)	2005	10	29.05
347	Rangpur (10208)	2005	11	28.52
348	Rangpur (10208)	2005	12	26.05
349	Rangpur (10208)	2006	1	22.75
350	Rangpur (10208)	2006	2	28.18
351	Rangpur (10208)	2006	3	31.34
352	Rangpur (10208)	2006	4	30.32
353	Rangpur (10208)	2006	5	32.30
354	Rangpur (10208)	2006	6	32.13
355	Rangpur (10208)	2006	7	33.06
356	Rangpur (10208)	2006	8	33.47
357	Rangpur (10208)	2006	9	31.76
358	Rangpur (10208)	2006	10	31.34
359	Rangpur (10208)	2006	11	27.52
360	Rangpur (10208)	2006	12	25.28
361	Rangpur (10208)	2007	1	22.84
362	Rangpur (10208)	2007	2	24.13
363	Rangpur (10208)	2007	3	29.23
364	Rangpur (10208)	2007	4	30.94
365	Rangpur (10208)	2007	5	33.86
366	Rangpur (10208)	2007	6	31.67
367	Rangpur (10208)	2007	7	31.61
368	Rangpur (10208)	2007	8	32.75
369	Rangpur (10208)	2007	9	31.55
370	Rangpur (10208)	2007	10	31.17
371	Rangpur (10208)	2007	11	29.07
372	Rangpur (10208)	2007	12	25.16
373	Rangpur (10208)	2008	1	23.00
374	Rangpur (10208)	2008	2	24.64
375	Rangpur (10208)	2008	3	29.41
376	Rangpur (10208)	2008	4	31.57
377	Rangpur (10208)	2008	5	32.59
378	Rangpur (10208)	2008	6	31.06
379	Rangpur (10208)	2008	7	31.75
380	Rangpur (10208)	2008	8	31.43
381	Rangpur (10208)	2008	9	32.45
382	Rangpur (10208)	2008	10	30.75
383	Rangpur (10208)	2008	11	28.59
384	Rangpur (10208)	2008	12	24.60
385	Rangpur (10208)	2009	1	23.30
386	Rangpur (10208)	2009	2	27.85
387	Rangpur (10208)	2009	3	30.46
388	Rangpur (10208)	2009	4	32.23
389	Rangpur (10208)	2009	5	31.46
390	Rangpur (10208)	2009	6	33.22
391	Rangpur (10208)	2009	7	33.03
392	Rangpur (10208)	2009	8	31.67
393	Rangpur (10208)	2009	9	33.21
394	Rangpur (10208)	2009	10	31.28
395	Rangpur (10208)	2009	11	28.73
396	Rangpur (10208)	2009	12	24.69
397	Rangpur (10208)	2010	1	22.45
398	Rangpur (10208)	2010	2	27.18
399	Rangpur (10208)	2010	3	31.67
400	Rangpur (10208)	2010	4	32.01
401	Rangpur (10208)	2010	5	32.31
402	Rangpur (10208)	2010	6	31.30
403	Rangpur (10208)	2010	7	32.63
404	Rangpur (10208)	2010	8	32.87
405	Rangpur (10208)	2010	9	32.05
406	Rangpur (10208)	2010	10	30.90
407	Rangpur (10208)	2010	11	28.81
408	Rangpur (10208)	2010	12	24.95
409	Rangpur (10208)	2011	1	20.98
410	Rangpur (10208)	2011	2	26.80
411	Rangpur (10208)	2011	3	29.88
412	Rangpur (10208)	2011	4	31.58
413	Rangpur (10208)	2011	5	31.73
414	Rangpur (10208)	2011	6	32.76
415	Rangpur (10208)	2011	7	32.25
416	Rangpur (10208)	2011	8	32.21
417	Rangpur (10208)	2011	9	32.57
418	Rangpur (10208)	2011	10	32.24
419	Rangpur (10208)	2011	11	28.04
420	Rangpur (10208)	2011	12	23.29
421	Rangpur (10208)	2012	1	21.97
422	Rangpur (10208)	2012	2	26.50
423	Rangpur (10208)	2012	3	30.79
424	Rangpur (10208)	2012	4	31.38
425	Rangpur (10208)	2012	5	33.27
426	Rangpur (10208)	2012	6	31.91
427	Rangpur (10208)	2012	7	31.69
428	Rangpur (10208)	2012	8	32.76
429	Rangpur (10208)	2012	9	31.98
430	Rangpur (10208)	2012	10	31.24
431	Rangpur (10208)	2012	11	28.38
432	Rangpur (10208)	2012	12	22.73
433	Rangpur (10208)	2013	1	22.52
434	Rangpur (10208)	2013	2	27.27
435	Rangpur (10208)	2013	3	31.59
436	Rangpur (10208)	2013	4	31.23
437	Rangpur (10208)	2013	5	31.08
438	Rangpur (10208)	2013	6	33.37
439	Rangpur (10208)	2013	7	32.80
440	Rangpur (10208)	2013	8	32.18
441	Rangpur (10208)	2013	9	32.94
442	Rangpur (10208)	2013	10	30.05
443	Rangpur (10208)	2013	11	28.63
444	Rangpur (10208)	2013	12	24.36
445	Rangpur (10208)	2014	1	22.22
446	Rangpur (10208)	2014	2	24.36
447	Rangpur (10208)	2014	3	30.44
448	Rangpur (10208)	2014	4	34.29
449	Rangpur (10208)	2014	5	33.28
450	Rangpur (10208)	2014	6	32.64
451	Rangpur (10208)	2014	7	33.20
452	Rangpur (10208)	2014	8	32.04
453	Rangpur (10208)	2014	9	31.44
454	Rangpur (10208)	2014	10	31.49
455	Rangpur (10208)	2014	11	29.36
456	Rangpur (10208)	2014	12	24.14
457	Rangpur (10208)	2015	1	22.40
458	Rangpur (10208)	2015	2	26.49
459	Rangpur (10208)	2015	3	30.19
460	Rangpur (10208)	2015	4	30.24
461	Rangpur (10208)	2015	5	32.04
462	Rangpur (10208)	2015	6	31.62
463	Rangpur (10208)	2015	7	32.99
464	Rangpur (10208)	2015	8	31.92
465	Rangpur (10208)	2015	9	32.24
466	Rangpur (10208)	2015	10	32.26
467	Rangpur (10208)	2015	11	29.25
468	Rangpur (10208)	2015	12	24.41
469	Rangpur (10208)	2016	1	23.13
470	Rangpur (10208)	2016	2	27.88
471	Rangpur (10208)	2016	3	31.20
472	Rangpur (10208)	2016	4	32.88
473	Rangpur (10208)	2016	5	31.26
474	Rangpur (10208)	2016	6	33.03
475	Rangpur (10208)	2016	7	31.93
476	Rangpur (10208)	2016	8	33.94
477	Rangpur (10208)	2016	9	32.32
478	Rangpur (10208)	2016	10	32.09
479	Rangpur (10208)	2016	11	29.85
480	Rangpur (10208)	2016	12	27.01
481	Rangpur (10208)	2017	1	25.27
482	Rangpur (10208)	2017	2	27.64
483	Rangpur (10208)	2017	3	27.99
484	Rangpur (10208)	2017	4	30.37
485	Rangpur (10208)	2017	5	32.35
486	Rangpur (10208)	2017	6	33.42
487	Rangpur (10208)	2017	7	32.37
488	Rangpur (10208)	2017	8	32.75
489	Rangpur (10208)	2017	9	32.91
490	Rangpur (10208)	2017	10	31.36
491	Rangpur (10208)	2017	11	29.18
492	Rangpur (10208)	2017	12	26.69
493	Rangpur (10208)	2018	1	21.41
494	Rangpur (10208)	2018	2	26.75
495	Rangpur (10208)	2018	3	30.99
496	Rangpur (10208)	2018	4	30.60
497	Rangpur (10208)	2018	5	31.10
498	Rangpur (10208)	2018	6	33.35
499	Rangpur (10208)	2018	7	33.32
500	Rangpur (10208)	2018	8	33.59
501	Rangpur (10208)	2018	9	32.99
502	Rangpur (10208)	2018	10	30.82
503	Rangpur (10208)	2018	11	29.25
504	Rangpur (10208)	2018	12	25.68
505	Rangpur (10208)	2019	1	25.71
506	Rangpur (10208)	2019	2	26.35
507	Rangpur (10208)	2019	3	30.14
508	Rangpur (10208)	2019	4	31.08
509	Rangpur (10208)	2019	5	32.06
510	Rangpur (10208)	2019	6	33.74
511	Rangpur (10208)	2019	7	32.82
512	Rangpur (10208)	2019	8	34.17
513	Rangpur (10208)	2019	9	31.59
